SchoolId,SchoolName,ShortName,SchoolIdentifiers,IdentificationSystems,AddressStreet,City,State,Zip,Latitude,Longitude,SchoolOperationalStatus,GradesOffered,GradeLevelsApproved,ChildNutritionPrograms,AltSchoolFocusType,NationalSchoolLunchStatus,VirtualSchoolStatus,StrictDisciplineAcademy,StudentAccessToRecess,WebsiteURL
4830,Rochester Hills Elementary,RH Elem,4830|MI-4830,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,123 Main St,Rochester Hills,StateAbbreviation_MI,48309,42.6586,-83.1499,SchoolOperationalStatus_Open,"GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03,GradeLevel_04,GradeLevel_05","GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03,GradeLevel_04,GradeLevel_05","ChildNutritionPrograms_NSLP,ChildNutritionPrograms_SBP",,,StrictDisciplineAcademy_No,StudentAccessToRecess_1,https://rhelm.rochester.k12.mi.us
4831,Bloomfield Hills Middle School,BH MS,4831,OrganizationIdentificationSystem_SEA,456 Oak Ave,Bloomfield Hills,StateAbbreviation_MI,48301,42.5835,-83.2455,SchoolOperationalStatus_Open,"GradeLevel_06,GradeLevel_07,GradeLevel_08","GradeLevel_06,GradeLevel_07,GradeLevel_08",ChildNutritionPrograms_NSLP,,,StrictDisciplineAcademy_No,StudentAccessToRecess_1,https://bhms.bloomfield.k12.mi.us
4832,Troy High School,Troy HS,4832|MI-4832,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,789 Elm Blvd,Troy,StateAbbreviation_MI,48083,42.6064,-83.1498,SchoolOperationalStatus_Open,"GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","ChildNutritionPrograms_NSLP,ChildNutritionPrograms_SBP",,,,StudentAccessToRecess_2,https://troyhs.troy.k12.mi.us
4833,Sterling Heights Academy,SH Academy,4833,OrganizationIdentificationSystem_SEA,321 Pine Rd,Sterling Heights,StateAbbreviation_MI,48310,42.5803,-83.0302,SchoolOperationalStatus_Open,"GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03","GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03",ChildNutritionPrograms_NSLP,,,,StudentAccessToRecess_1,
4834,Warren Consolidated K-8,Warren K8,4834,OrganizationIdentificationSystem_SEA,500 Van Dyke Ave,Warren,StateAbbreviation_MI,48093,42.4927,-83.0277,SchoolOperationalStatus_Open,"GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03,GradeLevel_04,GradeLevel_05,GradeLevel_06,GradeLevel_07,GradeLevel_08","GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03,GradeLevel_04,GradeLevel_05,GradeLevel_06,GradeLevel_07,GradeLevel_08",ChildNutritionPrograms_NSLP,,,,StudentAccessToRecess_1,https://warrenschools.org
4835,Detroit Cass Tech HS,Cass Tech,4835|MI-4835,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,2501 Second Ave,Detroit,StateAbbreviation_MI,48201,42.3440,-83.0545,SchoolOperationalStatus_Open,"GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","ChildNutritionPrograms_NSLP,ChildNutritionPrograms_SBP",,,,StudentAccessToRecess_2,https://casstech.detroitk12.org
4836,Ann Arbor Open School,AA Open,4836,OrganizationIdentificationSystem_SEA,920 Miller Ave,Ann Arbor,StateAbbreviation_MI,48103,42.2886,-83.7537,SchoolOperationalStatus_Open,"GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03,GradeLevel_04,GradeLevel_05","GradeLevel_KG,GradeLevel_01,GradeLevel_02,GradeLevel_03,GradeLevel_04,GradeLevel_05",ChildNutritionPrograms_NSLP,,AlternativeSchoolFocusType_AtRisk,,StrictDisciplineAcademy_No,StudentAccessToRecess_1,https://aaopen.a2schools.org
4837,Flint Northern HS,Flint North,4837,OrganizationIdentificationSystem_SEA,2001 Vermont Ave,Flint,StateAbbreviation_MI,48506,43.0380,-83.6620,SchoolOperationalStatus_Closed,"GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12",,,,,StudentAccessToRecess_2,
4838,Kalamazoo Central HS,K Central,4838,OrganizationIdentificationSystem_SEA,2432 N Drake Rd,Kalamazoo,StateAbbreviation_MI,49006,42.3048,-85.6260,SchoolOperationalStatus_Open,"GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","ChildNutritionPrograms_NSLP,ChildNutritionPrograms_SBP",,,,StudentAccessToRecess_2,https://kps.org/central
4839,Grand Rapids Innovation Central,GR Innovation,4839,OrganizationIdentificationSystem_SEA,421 Fountain St NE,Grand Rapids,StateAbbreviation_MI,49503,42.9659,-85.6636,SchoolOperationalStatus_Open,"GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12","GradeLevel_09,GradeLevel_10,GradeLevel_11,GradeLevel_12",ChildNutritionPrograms_NSLP,,,,StudentAccessToRecess_2,https://innovationcentral.grps.org
