OrgId,OrgName,OrgShortName,OrgIdentifiers,OrgIdentificationSystems,OrgIdentifierTypes,IPEDSId,AddressTypes,AddressStreets,AddressApts,AddressCities,AddressStates,AddressZips,AddressCounties,Latitudes,Longitudes,XLocations,YLocations,OperationalStatus,OperationalStatusDate,WebsiteURL,OrgType,Locale
5000,Lincoln Elementary School,Lincoln Elem,5000|MI-5000,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical;AddressTypeForOrganization_Mailing","123 Main St;PO Box 100","Suite 1;","Detroit;Detroit",StateAbbreviation_MI|StateAbbreviation_MI,48201;48201,Wayne;Wayne,42.3314;42.3314,-83.0458;-83.0458,,-,OrganizationOperationalStatus_Open,2020-09-01,https://lincoln.detroit.k12.mi.us,OrganizationType_K12School,Locale_CityLarge
5001,Washington Middle School,Washington MS,5001|MI-5001,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical","456 Oak Ave",,"Lansing",StateAbbreviation_MI,48906,Ingham,42.7325,-84.5555,,OrganizationOperationalStatus_Open,2019-09-01,https://washington.lansing.k12.mi.us,OrganizationType_K12School,Locale_CityMidsize
5002,Jefferson High School,Jefferson HS,5002|MI-5002,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical","789 Elm Blvd",,"Flint",StateAbbreviation_MI,48503,Genesee,43.0125,-83.6875,,OrganizationOperationalStatus_Open,2018-09-01,https://jefferson.flint.k12.mi.us,OrganizationType_K12School,Locale_CitySmall
5003,Roosevelt Early Childhood Center,Roosevelt ECC,5003,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","321 Pine Rd","Room 5","Ann Arbor",StateAbbreviation_MI,48103,Washtenaw,42.2808,-83.7430,,OrganizationOperationalStatus_Open,2021-09-01,https://roosevelt.aaps.k12.mi.us,OrganizationType_K12School,Locale_SuburbanLarge
5004,Grand Rapids Public School District,GRPS,5004|MI-5004,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical","1331 Franklin St SE",,"Grand Rapids",StateAbbreviation_MI,49506,Kent,42.9634,-85.6681,,OrganizationOperationalStatus_Open,2017-09-01,https://www.grps.org,OrganizationType_LocalEducationAgency,Locale_CityMidsize
5005,Kalamazoo Regional Educational Service Agency,KRESA,5005,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","1819 E Milham Ave",,"Portage",StateAbbreviation_MI,49002,Kalamazoo,42.1838,-85.6037,,OrganizationOperationalStatus_Open,2016-09-01,https://www.kresa.org,OrganizationType_EducationServiceAgency,Locale_SuburbanSmall
5006,Northern Michigan University,NMU,5006,,192387,,"AddressTypeForOrganization_Physical","1401 Presque Isle Ave",,"Marquette",StateAbbreviation_MI,49855,Marquette,46.5436,-87.4101,,OrganizationOperationalStatus_Open,2010-09-01,https://www.nmu.edu,OrganizationType_PostsecondaryInstitution,Locale_TownDistant
5007,Adams Elementary,Adams Elem,5007,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","500 Adams St",,"Southfield",StateAbbreviation_MI,48075,Oakland,42.4734,-83.2219,,OrganizationOperationalStatus_Open,2020-09-01,,OrganizationType_K12School,Locale_SuburbanMidsize
5008,Monroe Charter Academy,Monroe Charter,5008,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","222 Monroe St",,"Monroe",StateAbbreviation_MI,48161,Monroe,41.9162,-83.3977,,OrganizationOperationalStatus_Open,2015-09-01,https://monroecharter.org,OrganizationType_K12School,Locale_TownFringe
5009,Dearborn Heights School,Dearborn Hts,5009,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","100 Cherry Hill Rd",,"Dearborn Heights",StateAbbreviation_MI,48127,Wayne,42.3226,-83.2730,,OrganizationOperationalStatus_Open,2019-09-01,https://dhschool.mi.us,OrganizationType_K12School,Locale_SuburbanLarge
5010,Saginaw Valley State University,SVSU,5010,,166543,,"AddressTypeForOrganization_Physical","7400 Bay Rd",,"University Center",StateAbbreviation_MI,48710,Saginaw,43.5567,-83.9811,,OrganizationOperationalStatus_Open,2009-09-01,https://www.svsu.edu,OrganizationType_PostsecondaryInstitution,Locale_TownDistant
